1.0000,0.8977,0.2717,0.1709,0.3486,-0.2352,-0.3170,-0.1527,0.6678,0.6441,0.6428,0.6672,0.5668,0.2262,0.4738,0.3591,0.3781,0.3732,0.2519,0.3847,0.3163,0.5816,0.4117,0.5519,0.3760,0.6782,0.7151,0.4725,0.5207,0.5735,0.6231,0.5763,0.5201,0.4126,0.3967
0.8977,1.0000,0.2871,0.1740,0.3549,-0.2268,-0.2921,-0.1258,0.6545,0.6540,0.6364,0.6849,0.5100,0.2874,0.5137,0.4151,0.4129,0.3384,0.2411,0.3499,0.2642,0.5556,0.4015,0.5866,0.3464,0.6584,0.7129,0.3849,0.4492,0.5061,0.5831,0.5444,0.4352,0.3696,0.3624
0.2717,0.2871,1.0000,0.8283,0.4382,0.1094,-0.0944,-0.1542,0.4082,0.4139,0.4128,0.3805,0.1909,0.1801,0.3331,0.3028,0.3655,0.6023,0.3659,0.5455,0.4876,0.4537,0.4114,0.4567,0.5403,0.3890,0.3478,0.3365,0.2905,0.4128,0.3704,0.2326,0.3836,0.5751,0.5724
0.1709,0.1740,0.8283,1.0000,0.3988,0.0852,0.1509,-0.1870,0.3531,0.3409,0.3275,0.3285,0.1460,0.1458,0.3176,0.2094,0.2689,0.5956,0.4131,0.5340,0.3555,0.3387,0.2319,0.3136,0.4134,0.2430,0.1996,0.2573,0.2287,0.3674,0.2769,0.1695,0.2596,0.4622,0.4707
0.3486,0.3549,0.4382,0.3988,1.0000,-0.0223,-0.1429,-0.1682,0.3895,0.3889,0.4128,0.4317,0.0943,0.2812,0.4642,0.3035,0.4656,0.4371,0.3281,0.4546,0.1726,0.6594,0.3958,0.6299,0.3071,0.4849,0.4283,0.2716,0.2217,0.4517,0.4148,0.2504,0.2677,0.3275,0.2895
-0.2352,-0.2268,0.1094,0.0852,-0.0223,1.0000,0.0370,0.4873,-0.1443,-0.1739,-0.2906,-0.2211,-0.1779,-0.0475,-0.2492,-0.0939,-0.0152,-0.0894,0.0946,-0.1557,-0.0430,-0.1783,-0.1087,-0.1924,-0.0660,-0.0007,-0.0281,-0.2035,-0.0074,-0.2853,-0.2504,-0.1497,-0.1873,-0.1264,-0.1358
-0.3170,-0.2921,-0.0944,0.1509,-0.1429,0.0370,1.0000,-0.0572,-0.2556,-0.2219,-0.2194,-0.2250,-0.1522,-0.2030,-0.1442,-0.1758,-0.2670,-0.1935,-0.1586,-0.2207,-0.1078,-0.2197,-0.1864,-0.2310,-0.1660,-0.3697,-0.3780,-0.1985,-0.2738,-0.2519,-0.3005,-0.2601,-0.2430,-0.3095,-0.3132
-0.1527,-0.1258,-0.1542,-0.1870,-0.1682,0.4873,-0.0572,1.0000,-0.1717,-0.2233,-0.2647,-0.1836,-0.1681,-0.1263,-0.2426,-0.1216,-0.1632,-0.2188,-0.0302,-0.2431,-0.0937,-0.2103,-0.1029,-0.2325,-0.0809,-0.0586,0.0224,-0.1996,-0.0311,-0.3136,-0.2230,-0.1738,-0.1728,-0.2106,-0.1795
0.6678,0.6545,0.4082,0.3531,0.3895,-0.1443,-0.2556,-0.1717,1.0000,0.7013,0.6288,0.6433,0.6415,0.3267,0.4169,0.4018,0.4427,0.4060,0.2854,0.4182,0.3736,0.4852,0.3351,0.4538,0.3917,0.7144,0.7325,0.3525,0.6082,0.4577,0.4856,0.5875,0.4620,0.4012,0.4252
0.6441,0.6540,0.4139,0.3409,0.3889,-0.1739,-0.2219,-0.2233,0.7013,1.0000,0.7764,0.7413,0.5126,0.4118,0.6259,0.4830,0.4744,0.4438,0.2604,0.4539,0.3583,0.5254,0.4577,0.5386,0.3857,0.5902,0.6275,0.2892,0.5432,0.5365,0.5593,0.4472,0.4733,0.4601,0.4752
0.6428,0.6364,0.4128,0.3275,0.4128,-0.2906,-0.2194,-0.2647,0.6288,0.7764,1.0000,0.7071,0.5310,0.3853,0.5848,0.5195,0.3929,0.4584,0.2273,0.5243,0.3179,0.5385,0.4167,0.5596,0.3792,0.4648,0.5133,0.3419,0.4824,0.6715,0.6569,0.4644,0.4996,0.5293,0.5417
0.6672,0.6849,0.3805,0.3285,0.4317,-0.2211,-0.2250,-0.1836,0.6433,0.7413,0.7071,1.0000,0.5072,0.4564,0.6050,0.5293,0.5065,0.4661,0.3771,0.4925,0.3179,0.5412,0.4706,0.5511,0.4269,0.5224,0.5757,0.4396,0.4876,0.6400,0.7111,0.6583,0.5354,0.3949,0.3815
0.5668,0.5100,0.1909,0.1460,0.0943,-0.1779,-0.1522,-0.1681,0.6415,0.5126,0.5310,0.5072,1.0000,0.0144,0.1230,0.1052,0.0936,0.2771,0.1187,0.3193,0.2840,0.2515,0.1230,0.2268,0.1979,0.5201,0.5324,0.4108,0.5022,0.3677,0.4131,0.5884,0.5525,0.2486,0.2253
0.2262,0.2874,0.1801,0.1458,0.2812,-0.0475,-0.2030,-0.1263,0.3267,0.4118,0.3853,0.4564,0.0144,1.0000,0.6718,0.7908,0.6832,0.2030,0.1593,0.2776,0.1020,0.2929,0.3444,0.3141,0.1833,0.1925,0.1861,0.0627,0.2852,0.3882,0.4763,0.4068,0.1525,0.1665,0.1888
